"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"1","13152",15,51,35,35.1,346,2,14.6,75.2,16.5,"WGS84",45.9755,12.66835,"B52","8","U111","8","mineral","ITALY"
"2","13153",8,57,35,62.6,418,1.4,27.1,58,8.3,"WGS84",45.99018,12.79803,"C10","8","U120","8","mineral","ITALY"
"3","13154",36,61,3,15.1,501,1,0,129.3,20.3,"WGS84",45.88863,12.53528,"B11","8","U111","8","mineral","ITALY"
"4","13155",25,65,10,25.8,498,1.5,0,72.7,16.9,"WGS84",45.87001,12.56019,"B51","8","U111","8","mineral","ITALY"
"5","13156",10,61,29,37.3,496,2,0,49.2,11,"WGS84",45.95168,12.89902,"C10","8","U120","8","mineral","ITALY"
"6","13158",39,58,3,29.6,402,2.5,48.9,121.4,23.3,"WGS84",45.84271,12.91913,"B16","8","U111","8","mineral","ITALY"
"7","13159",30,65,5,16.9,506,1.2,22.8,127.4,11.6,"WGS84",45.73037,13.06721,"B16","8","U111","8","mineral","ITALY"
"8","13160",19,46,35,26.3,2,2.2,28,315.1,14.9,"WGS84",46.00109,13.0567,"B13","8","U111","8","mineral","ITALY"
"9","13161",21,45,34,23.2,67,2.1,62.2,162.4,17.4,"WGS84",46.00259,13.00516,"B16","8","U111","8","mineral","ITALY"
"10","13162",46,50,4,22.9,240,2,18.5,336.6,25.6,"WGS84",45.75784,13.35143,"B33","8","U111","8","mineral","ITALY"
"11","13164",32,61,7,9.7,8,1.2,22.4,113.8,20.7,"WGS84",45.851,13.25422,"B33","8","U111","8","mineral","ITALY"
"12","13165",25,48,27,14.9,1,1.6,20.4,175.6,15.5,"WGS84",45.89764,13.48888,"B82","F00","U111","8","mineral","ITALY"
"13","13166",21,72,7,22.4,339,1.5,0,139.7,18.5,"WGS84",45.88214,13.41064,"B16","8","U111","8","mineral","ITALY"
"14","13167",25,72,4,31.3,159,2.6,15.6,95.2,32.6,"WGS84",45.90097,13.38605,"B16","8","U111","8","mineral","ITALY"
"15","13168",24,51,25,20.1,5,2,19.6,81.6,19.1,"WGS84",46.01303,13.26383,"B16","8","U111","8","mineral","ITALY"
"16","13169",31,43,26,22,66,2.3,49.2,275.3,22.4,"WGS84",45.899327,13.43749,"B33","8","U111","8","mineral","ITALY"
"17","13170",23,43,33,18.8,181,1.6,18.8,139.2,17.2,"WGS84",45.9052,13.20502,"B16","8","U111","8","mineral","ITALY"
"18","13171",20,53,27,16.1,9,1.7,36.5,132.6,15.7,"WGS84",46.11052,13.01119,"B33","8","U111","8","mineral","ITALY"
"19","13172",17,50,33,29.7,41,2.5,33.7,266.7,18.4,"WGS84",46.07382,13.03503,"B33","8","U111","8","mineral","ITALY"
"20","13173",NA,NA,NA,237.7,418,15.7,39,232.8,28.2,"WGS84",46.15689,12.62502,"C30","8","U120","8","organic","ITALY"
"21","13174",28,55,17,26.4,50,2.5,19.9,163.5,27,"WGS84",46.17088,12.78219,"B16","8","U111","8","mineral","ITALY"
"22","13175",27,44,30,66.7,296,3.9,17.6,130.2,26.5,"WGS84",46.06083,12.85333,"B33","8","U111","8","mineral","ITALY"
"23","13176",7,41,52,113.4,408,4.9,16.2,79.1,30.9,"WGS84",46.37734,13.28214,"C30","8","U120","8","organic","ITALY"
"24","13177",8,30,62,51.7,586,0.3,0,30.5,9.6,"WGS84",46.396492,13.181275,"C10","8","U120","8","mineral","ITALY"
"25","13178",14,31,56,17,121,1.5,0,52.3,17,"WGS84",46.26364,13.25099,"C30","8","U120","8","mineral","ITALY"
"26","13179",12,41,47,36.7,176,2.9,0,79.3,19.4,"WGS84",46.08176,13.37149,"E20","8","U111","8","mineral","ITALY"
"27","13180",9,40,50,46.9,329,1.6,16.9,49.8,8.4,"WGS84",46.16671,12.93669,"E30","8","U112","8","mineral","ITALY"
"28","13181",20,57,23,73.8,46,7,13.2,96.2,36.2,"WGS84",46.188195,12.808321,"E20","8","U111","8","mineral","ITALY"
"29","13182",23,27,50,56.9,3,5.3,11.8,76.4,7,"WGS84",46.18178,13.04105,"E20","8","U111","8","mineral","ITALY"
"30","13183",15,33,52,9.3,1,1.1,41.1,125,6.8,"WGS84",46.14052,13.21983,"B16","8","U111","8","mineral","ITALY"
"31","13184",25,45,29,104.3,79,6.4,30.7,151.3,50.5,"WGS84",46.17448,13.27041,"C30","8","U120","8","organic","ITALY"
"32","13188",19,64,16,18.4,0,1.9,24.9,90.2,6.1,"WGS84",45.24605,7.74866,"B11","8","U111","8","mineral","ITALY"
"33","13189",13,56,30,11.1,0,1.2,20.3,83.7,3.8,"WGS84",45.24969,7.92671,"B16","8","U111","8","mineral","ITALY"
"34","13190",20,29,51,21.4,83,2,16.1,333.1,27,"WGS84",45.08403,7.75553,"E30","8","U400","8","mineral","ITALY"
"35","13191",12,49,39,19.2,2,2.3,53.7,450.6,11,"WGS84",45.25809,8.38435,"B17","8","U111","8","mineral","ITALY"
"36","13192",18,49,33,15.6,1,1.6,19,79.8,9.7,"WGS84",45.37961,8.15201,"B16","8","U111","8","mineral","ITALY"
"37","13193",13,49,38,18.1,2,2.2,127.3,162.7,12.3,"WGS84",45.21437,7.97892,"B16","8","U111","8","mineral","ITALY"
"38","13194",28,45,27,38.5,0,3.5,17.5,117.6,13,"WGS84",44.96698,7.38017,"C10","8","U400","8","mineral","ITALY"
"39","13195",25,63,12,33.3,1,3.2,14.6,74.3,10.6,"WGS84",45.27629,7.49275,"E20","8","U111","8","mineral","ITALY"
"40","13196",13,60,27,13.4,0,1.6,17.4,39.7,5.1,"WGS84",45.35247,7.66796,"E20","8","U111","8","mineral","ITALY"
"41","13197",14,40,45,31.5,0,3,17.6,47.8,12.2,"WGS84",44.78614,7.36328,"E20","8","U111","8","mineral","ITALY"
"42","13198",19,51,30,22.9,1,2.3,0,174.4,13.1,"WGS84",45.22226,7.49537,"E20","8","U111","8","mineral","ITALY"
"43","13199",16,56,28,18.4,3,1.8,24.5,67.4,12.9,"WGS84",45.04291,7.52853,"B16","8","U111","8","mineral","ITALY"
"44","13200",11,62,27,13.4,15,1.5,27.2,54.8,11.6,"WGS84",45.0601,7.5026,"B11","8","U111","8","mineral","ITALY"
"45","13201",21,52,28,64.2,3,5,86.5,299.6,22.8,"WGS84",45.02304,7.45336,"C10","8","U400","8","mineral","ITALY"
"46","13202",10,48,41,12.4,1,1.3,34.6,66.4,7.6,"WGS84",45.30568,8.05163,"B16","8","U111","8","mineral","ITALY"
"47","13203",8,36,56,8.3,0,1,55.3,64.7,2.7,"WGS84",44.95021,7.40377,"B16","8","U111","8","mineral","ITALY"
"48","13204",15,50,35,8.5,0,1.1,37,116.8,5.1,"WGS84",44.91896,7.61085,"B16","8","U111","8","mineral","ITALY"
"49","13205",15,49,35,22.8,1,2.2,30.6,59.4,13.5,"WGS84",45.34639,8.27984,"B17","8","U111","8","mineral","ITALY"
"50","13206",12,63,25,11.6,0,1.5,27.2,82.7,6,"WGS84",45.25363,8.20512,"B17","8","U111","8","mineral","ITALY"
"51","13207",15,64,21,15.3,0,1.6,28.9,86.1,5.8,"WGS84",45.37677,7.97296,"E30","8","U112","8","mineral","ITALY"
"52","13208",10,25,65,34.3,0,3,56.2,101.9,9.5,"WGS84",45.35786,7.89695,"E30","8","U112","8","mineral","ITALY"
"53","13209",14,73,12,12.3,1,1.4,33.3,134.1,8.8,"WGS84",45.32022,7.84759,"B16","8","U111","8","mineral","ITALY"
"54","13210",20,30,50,69.7,47,3.8,14.9,133.9,30.3,"WGS84",44.60042,9.28653,"C10","8","U120","8","mineral","ITALY"
"55","13211",30,47,23,12.3,264,1.7,0,189.9,22.5,"WGS84",44.85447,9.53283,"B13","8","U111","8","mineral","ITALY"
"56","13212",44,50,6,17.3,108,2,25,316.3,32,"WGS84",44.98173,10.01264,"B22","8","U111","8","mineral","ITALY"
"57","13213",32,53,15,9.1,36,1.1,11.1,126.8,25.4,"WGS84",45.0176,9.80999,"B11","8","U111","8","mineral","ITALY"
"58","13214",33,53,14,10.2,11,1.3,0,170.7,22.3,"WGS84",44.92667,9.55751,"E30","8","U112","8","mineral","ITALY"
"59","13215",34,53,13,16.8,438,1.9,25.3,186,29.6,"WGS84",44.85378,9.58183,"C10","8","U120","8","mineral","ITALY"
"60","13216",42,47,12,41,10,3.6,0,208.7,26.3,"WGS84",44.63788,9.48421,"E10","8","U112","8","mineral","ITALY"
